Shanghai,China,Shanghai Metro,1993,2021,403,795.5 km (494.3 mi),"2,834.69 (2020)"
Shaoxing,China,Shaoxing Metro,2021,2022,28,47.1 km (29.3 mi),-
Shenyang,China,Shenyang Metro,2010,2020,85,115.9 km (72.0 mi),316.28 (2020)
Shenzhen,China,Shenzhen Metro,2004,2022,303,547.42 km (340.15 mi),"2,178 (2021)"
Shijiazhuang,China,Shijiazhuang Metro,2017,2021,60,76.5 km (47.5 mi),71.71 (2020)
Suzhou,China,Suzhou Rail Transit,2012,2021,154,208.2 km (129.4 mi),308.57 (2020)
Taiyuan,China,Taiyuan Metro,2020,–,23,23.647 km (14.694 mi),0.876 (6 days in 2020)
Taizhou,China,Taizhou Rail Transit,2022,–,15,52.4 km (32.6 mi),-
Tianjin,China,Tianjin Metro,1984,2022,181,288.25 km (179.11 mi),338.75 (2020)
Ürümqi,China,Ürümqi Metro,2018,2019,21,27.615 km (17.159 mi),19.11 (2020)
Wenzhou,China,Wenzhou Rail Transit,2019,2019,18,53.507 km (33.248 mi),7.01 (2020)
Wuhan,China,Wuhan Metro,2004,2022,254,460.944 km (286.417 mi),"1,012.70 (2021)"
Wuxi,China,Wuxi Metro,2014,2021,80,114.8 km (71.3 mi),87.22 (2020)
Xiamen,China,Xiamen Metro,2017,2021,66,98.4 km (61.1 mi),113.97 (2020)
Xi'an,China,Xi'an Metro,2011,2022,173,278.5 km (173.1 mi),731.04 (2020)
Xuzhou,China,Xuzhou Metro,2019,2021,51,64.35 km (39.99 mi),20.94 (2020)
Zhengzhou,China,Zhengzhou Metro,2013,2022,143,232.5 km (144.5 mi),341.01 (2020)
Medellín,Colombia,Medellín Metro,1995,2012,27,31.3 km (19.4 mi),215.2 (2022)
Prague,Czech Republic,Prague Metro,1974,2015,58,65.4 km (40.6 mi),251.4 (2020)
Copenhagen,Denmark,Copenhagen Metro,2002,2020,39,38.2 km (23.7 mi),107 (2022)
Santo Domingo,Dominican Republic,Santo Domingo Metro,2009,2018,33,31.0 km (19.3 mi),49.6 (2020)
Quito,Ecuador,Quito Metro,2023,–,15,22.6 km (14.0 mi),-
Cairo,Egypt,Cairo Metro,1987,2022,74,93.1 km (57.8 mi),"1,314 (2015)"
Helsinki,Finland,Helsinki Metro,1982,2022,30,43 km (27 mi),60.4 (2020)
Lille,France,Lille Metro,1983,2000,60,45 km (28 mi),89.3 (2021)
Lyon,France,Lyon Metro,1978,2013,40,32.0 km (19.9 mi),159.0 (2021)
Marseille,France,Marseille Metro,1977,2019,29,22.7 km (14.1 mi),57.9 (2021)
Paris,France,Paris Métro,1900,2022,308,226.9 km (141.0 mi),"1,339 (2022)"
Rennes,France,Rennes Metro,2002,2022,28,22.4 km (13.9 mi),32.7 (2021)
Toulouse,France,Toulouse Metro,1993,2007,37,28.2 km (17.5 mi),84.4 (2021)
Tbilisi,Georgia,Tbilisi Metro,1966,2017,23,28.6 km (17.8 mi),78.4 (2022)
